iter	MultiClass
0	2.729797188
1	2.445669167
2	2.208107498
3	2.044617402
4	1.900768967
5	1.766085214
6	1.651334299
7	1.547547975
8	1.460044564
9	1.374280739
10	1.30496429
11	1.237015861
12	1.172855824
13	1.113262412
14	1.062621532
15	1.01154256
16	0.9666162483
17	0.9242759805
18	0.8865723244
19	0.8523168244
20	0.8168303512
21	0.7862063389
22	0.7562007646
23	0.7274973729
24	0.7010873803
25	0.6756445327
26	0.6532121282
27	0.6318590581
28	0.6113628217
29	0.5911687024
30	0.5708795652
31	0.5537326463
32	0.537547705
33	0.5214067964
34	0.5054217101
35	0.4903789181
36	0.4772604159
37	0.4635942407
38	0.4509444117
39	0.4382082957
40	0.4268942376
41	0.4154612731
42	0.4046144588
43	0.3938841703
44	0.3842638458
45	0.3753148638
46	0.3662761181
47	0.3579220764
48	0.3500622788
49	0.342144237
50	0.3349916142
51	0.3271265862
52	0.3200652282
53	0.3127943115
54	0.3083001593
55	0.3018836875
56	0.2956315205
57	0.2893146618
58	0.283491347
59	0.2783681879
60	0.2730780103
61	0.2681773878
62	0.2626151596
63	0.2590856843
64	0.2543858119
65	0.2493981018
66	0.2451407285
67	0.2412960699
68	0.2376464188
69	0.2346388317
70	0.231344997
71	0.2276486048
72	0.2243866197
73	0.2214351649
74	0.2180874744
75	0.2148167465
76	0.2118635621
77	0.2088189054
78	0.2054970674
79	0.2029932339
80	0.20096994
81	0.1980294287
82	0.1949714957
83	0.1925269535
84	0.1902790576
85	0.1881141592
86	0.1859260777
87	0.1840876689
88	0.1822937946
89	0.1805365981
90	0.1788271086
91	0.1764057428
92	0.1740855041
93	0.1718871582
94	0.1703244243
95	0.1683881879
96	0.1669210568
97	0.1649382903
98	0.1631273655
99	0.1613250645
100	0.1600452765
101	0.1585518951
102	0.1568869363
103	0.1555544259
104	0.1541045495
105	0.1525511996
106	0.1511775081
107	0.150052581
108	0.1487384124
109	0.1476407655
110	0.1465855794
111	0.1453658727
112	0.1442235942
113	0.1432278959
114	0.142280817
115	0.1416003657
116	0.140323798
117	0.1391672966
118	0.138378615
119	0.1374141853
120	0.1364190945
121	0.1354729773
122	0.1345666535
123	0.1335635303
124	0.1326935129
125	0.1320106564
126	0.1309174807
127	0.1301131365
128	0.1292355985
129	0.12857659
130	0.1277906969
131	0.1270056487
132	0.1261822362
133	0.1255733445
134	0.1245241516
135	0.1236392149
136	0.122919014
137	0.1222148066
138	0.1214817701
139	0.1205721993
140	0.1197816561
141	0.1191577234
142	0.1186929569
143	0.1179677296
144	0.1171532982
145	0.1165956143
146	0.1159096945
147	0.1152435995
148	0.1146270364
149	0.1138635259
150	0.1132528053
151	0.1126746155
152	0.1121552278
153	0.1115704401
154	0.1110829824
155	0.1107108548
156	0.1101049245
157	0.1097032094
158	0.109143276
159	0.1086425445
160	0.1080202274
161	0.1074942382
162	0.1069987184
163	0.106470274
164	0.106043278
165	0.1055447176
166	0.1051567042
167	0.1046223116
168	0.1042676349
169	0.1038290792
170	0.1033147634
171	0.1028558859
172	0.1024136096
173	0.1020308358
174	0.1016357425
175	0.1012666072
176	0.1008936444
177	0.1005180506
178	0.1002132524
179	0.09983567469
180	0.09937299391
181	0.09902892962
182	0.09863114013
183	0.09819946062
184	0.09778288414
185	0.09747294894
186	0.09710668863
187	0.09671344943
188	0.09639018677
189	0.0959587471
190	0.09560294995
191	0.09513409507
192	0.09479155491
193	0.09453297446
194	0.09400703983
195	0.09361646779
196	0.09338265858
197	0.09293036534
198	0.09255595125
199	0.09226758789
200	0.09189028183
201	0.09152364338
202	0.09105737788
203	0.09068992766
204	0.09034460548
205	0.09005591758
206	0.08969519061
207	0.0893989986
208	0.08906843836
209	0.08871210509
210	0.088429544
211	0.08813222067
212	0.0880164636
213	0.08776979314
214	0.08743840091
215	0.087179455
216	0.08685419844
217	0.08656280391
218	0.0862684312
219	0.08594633366
220	0.08563868703
221	0.08538511647
222	0.08507559454
223	0.08488253576
224	0.08466175506
225	0.08436585368
226	0.08411241387
227	0.08377649716
228	0.08347357731
229	0.08312054987
230	0.08284558903
231	0.08256030247
232	0.08235454771
233	0.0820923544
234	0.08174846288
235	0.08150384089
236	0.08122063788
237	0.0809842531
238	0.08074226377
239	0.08052949588
240	0.08028793459
241	0.07999117985
242	0.07969840331
243	0.0794167004
244	0.07923072774
245	0.07904693023
246	0.07879700837
247	0.07847914806
248	0.07830579308
249	0.07802766138
250	0.07773547949
251	0.07748054609
252	0.07731664293
253	0.07706832861
254	0.07689819293
255	0.07669099311
256	0.07640892901
257	0.07610927186
258	0.07591099438
259	0.07572879651
260	0.07545430198
261	0.07518993125
262	0.07498405918
263	0.07474501572
264	0.07454592248
265	0.07435693987
266	0.07414351222
267	0.07395087561
268	0.07374315022
269	0.07353915673
270	0.07337104272
271	0.07315120353
272	0.07290514902
273	0.07274845553
274	0.0725372369
275	0.07230019869
276	0.07207667455
277	0.07174556312
278	0.07149638561
279	0.07129472877
280	0.07109198343
281	0.07083923412
282	0.0706422406
283	0.07039388765
284	0.07015273807
285	0.06999699918
286	0.069767766
287	0.06958262487
288	0.06942405936
289	0.06923990286
290	0.06900503945
291	0.06879239447
292	0.06858542395
293	0.06840208787
294	0.06822213581
295	0.06808218426
296	0.06788597084
297	0.06766736053
298	0.06743437979
299	0.06727656321
