iter	Passed	Remaining
0	154	46262
1	186	27849
2	215	21341
3	247	18319
4	279	16496
5	311	15256
6	340	14243
7	381	13942
8	411	13293
9	441	12795
10	468	12311
11	496	11909
12	585	12933
13	727	14866
14	774	14713
15	807	14328
16	839	13975
17	884	13857
18	914	13524
19	943	13211
20	975	12955
21	1003	12681
22	1032	12433
23	1069	12299
24	1096	12064
25	1135	11968
26	1165	11780
27	1196	11625
28	1228	11476
29	1257	11318
30	1298	11264
31	1333	11166
32	1372	11106
33	1430	11189
34	1491	11290
35	1526	11194
36	1575	11198
37	1611	11111
38	1659	11102
39	1688	10976
40	1718	10853
41	1745	10720
42	1777	10623
43	1815	10564
44	1858	10529
45	1938	10704
46	1981	10665
47	2023	10620
48	2069	10602
49	2159	10795
50	2201	10750
51	2233	10652
52	2264	10554
53	2296	10460
54	2326	10361
55	2356	10268
56	2389	10186
57	2433	10152
58	2464	10065
59	2494	9977
60	2523	9886
61	2551	9793
62	2579	9703
63	2610	9627
64	2654	9596
65	2697	9562
66	2724	9473
67	2753	9394
68	2783	9319
69	2814	9247
70	2845	9177
71	2872	9097
72	2905	9036
73	2945	8995
74	2980	8940
75	3013	8882
76	3045	8819
77	3077	8759
78	3104	8684
79	3132	8615
80	3161	8547
81	3203	8515
82	3230	8447
83	3270	8409
84	3297	8341
85	3326	8277
86	3353	8210
87	3380	8144
88	3409	8083
89	3453	8057
90	3481	7996
91	3508	7933
92	3536	7871
93	3563	7809
94	3590	7747
95	3619	7690
96	3646	7632
97	3674	7574
98	3711	7534
99	3738	7477
100	3766	7420
101	3799	7375
102	3827	7319
103	3853	7263
104	3881	7208
105	3919	7173
106	3947	7120
107	3991	7095
108	4020	7044
109	4053	7001
110	4086	6958
111	4118	6912
112	4147	6864
113	4175	6813
114	4210	6772
115	4245	6734
116	4280	6695
117	4314	6654
118	4348	6614
119	4384	6577
120	4417	6535
121	4461	6509
122	4510	6490
123	4550	6458
124	4596	6435
125	4635	6401
126	4682	6378
127	4735	6362
128	4770	6323
129	4808	6288
130	4853	6261
131	4897	6233
132	4944	6208
133	5001	6196
134	5058	6182
135	5104	6155
136	5150	6128
137	5201	6106
138	5263	6096
139	5300	6058
140	5343	6025
141	5387	5994
142	5428	5959
143	5474	5930
144	5522	5903
145	5568	5873
146	5608	5837
147	5644	5797
148	5686	5762
149	5726	5726
150	5786	5709
151	5837	5683
152	5872	5642
153	5908	5601
154	5944	5561
155	5981	5521
156	6050	5511
157	6087	5470
158	6121	5428
159	6158	5388
160	6197	5350
161	6245	5320
162	6299	5294
163	6338	5256
164	6374	5215
165	6411	5175
166	6446	5133
167	6481	5092
168	6525	5058
169	6560	5016
170	6606	4983
171	6647	4947
172	6688	4910
173	6727	4871
174	6764	4832
175	6806	4795
176	6840	4753
177	6869	4708
178	6897	4662
179	6924	4616
180	6953	4571
181	6984	4528
182	7013	4484
183	7057	4449
184	7086	4405
185	7115	4360
186	7147	4318
187	7177	4276
188	7207	4232
189	7248	4196
190	7297	4164
191	7342	4130
192	7391	4097
193	7427	4058
194	7458	4015
195	7490	3974
196	7521	3932
197	7603	3917
198	7683	3899
199	7753	3876
200	7810	3847
201	7839	3803
202	7868	3759
203	7904	3719
204	7933	3676
205	8007	3653
206	8134	3654
207	8193	3623
208	8228	3582
209	8265	3542
210	8415	3549
211	8487	3523
212	8618	3520
213	8712	3501
214	8796	3477
215	8913	3466
216	9002	3443
217	9128	3433
218	9223	3411
219	9278	3373
220	9377	3352
221	9447	3319
222	9506	3282
223	9613	3261
224	9681	3227
225	9762	3196
226	9850	3167
227	9925	3134
228	9989	3097
229	10051	3059
230	10150	3031
231	10209	2992
232	10273	2954
233	10354	2920
234	10410	2879
235	10467	2838
236	10535	2800
237	10614	2765
238	10713	2734
239	10783	2695
240	10883	2664
241	10956	2625
242	11030	2587
243	11094	2546
244	11177	2509
245	11243	2467
246	11306	2426
247	11400	2390
248	11461	2347
249	11522	2304
250	11581	2260
251	11690	2226
252	11755	2183
253	11816	2139
254	11906	2101
255	11975	2058
256	12054	2016
257	12150	1978
258	12213	1933
259	12274	1888
260	12338	1843
261	12425	1802
262	12485	1756
263	12554	1711
264	12617	1666
265	12712	1624
266	12782	1579
267	12851	1534
268	12958	1493
269	13018	1446
270	13083	1400
271	13141	1352
272	13238	1309
273	13300	1262
274	13377	1216
275	13471	1171
276	13531	1123
277	13596	1076
278	13656	1027
279	13737	981
280	13796	932
281	13859	884
282	13948	837
283	14008	789
284	14075	740
285	14132	691
286	14219	644
287	14278	594
288	14343	545
289	14412	496
290	14525	449
291	14593	399
292	14696	351
293	14774	301
294	14853	251
295	14944	201
296	15017	151
297	15088	101
298	15140	50
299	15242	0
